Start Date,,Biomass Sample,Ins - Media,,,,,,,,,,,,,,,,Ins - Substrate Gases,H? loading,,CO? loading,,,,,,,,,Outs - Passive Waste Effluent,,,,,,,,,Outs - Gas,CH?,H?,CO?,,,,,,,CH? production,CH? production,,,,,,,H?,,,,CO?,,,,,TSS/VSS,,,,,0.795857751,Operational Info (Loxone Sensor Readings),,,,,,,,,,
5/14/2024 12:42,Days of Operation,Biomass Sample ID,Media description,Media changes,Media Influent Flow Rate (mL/min) based on scales linear projection,"pH adjustment delivery rate (mL/min) - primarily 1 M HCl, sometimes 1 M NaOH",Approximate Cl- (mg/L),Approximate Na+,Approximate K+,Media Acetate (mol/L),Media Propionate (mol/L),Media Butyrate (mol/L),Media Total VFA (mg COD/L),Media Total COD (mg/L) Hach,Media Ammonia (mol/L),Media Dissolved Inorganic Carbon (mol C/L),Media Dissolved Organic Carbon (mol C/L),Approximate Total Influent C (mol/min) based on Media recipe,H2 delivery rate setpoint (mL/min),H2 loading rate (m3h2/m2),CO2 delivery rate setpoint (mL/min),CO2 loading rate (m3co2/m2),total gas loading rate (NL/m2),H2 delivery rate (mol/min),H2 delivery rate (e-eq/min),H2 delivery (g COD/min),CO2 delivery rate (mol/min),H2:CO2 ratio,Measured Total Influent C (mol/min),Approximate Total Influent C (mol/min) based on Media recipe + gas,Effluent waste flow rate (mL/min) - measured based on HRT after Day 38.1,Waste Effluent Acetate (mol/L),Waste Effluent Propionate (mol/L),Waste Effluent Butyrate (mol/L),Waste Effluent Total VFA (mg COD/L),Waste Effluent Total COD (mg/L) Hach,Waste Effluent Ammonia (mol/L),Waste Effluent Dissolved Inorganic Carbon (mol C/L),Waste Effluent Dissolved Organic Carbon (mol C/L),Gas Flow Out (mL/min at STP),Gas Composition (% CH4),Gas Composition (% H2),Gas Composition (% CO2),CH4 Production (mL/min),CH4 Production (mol/min),H2 breakthrough (mL/min),H2 breakthrough (mol/min),CO2 breakthrough (mL/min),CO2 breakthrough (mol/min),Specific CH4 production Rate (m3/m3d) .155,Specific CH4 production Rate (NL/m2d),Waste Effluent Dissolved Inorganic Carbon (mol/min) based on sensor,Effluent C as measured (mol/min),Effluent C as biomass (mol/min),Total Effluent C (mol/min) based on MT sensors,H2 Conversion to CH4 Efficiency (%) based on CH4,H2 Conversion to CH4 Efficiency (%) based on H2 (mL/min) (qh2 in -qh2out)/qh2in,H2 conversion to CH4 efficiency (30-day rolling average),Accounted H2 (%),Unaccounted H2 (%),C gas only Conversion Efficiency to CH4 (%),CO2 conversion to CH4 efficiency (30-day rolling average),C Conversion to CH4 Efficiency (%),Accounted C (%) based on MT sensors,Unaccounted C (%) based on MT sensors,Projected Cell Yield (g/min),R-TSS,W-TSS,R-VSS,W-VSS,SRT,HRT,pH,"CO2 (mg/L, aqueous dissolved CO2)",ORP (mV),Temp ©,[H],[CO2aq],pKa1,pKa2,[HCO3-],[CO3-2],TIC
,140,H,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,101.23%,86.18%,13.82%,85.96%,101.23%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,140.1,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,101.06%,86.18%,13.82%,85.96%,101.06%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,140.2,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,100.89%,86.18%,13.82%,85.96%,100.89%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,140.3,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,100.73%,86.18%,13.82%,85.96%,100.73%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,140.4,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,100.56%,86.18%,13.82%,85.96%,100.56%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,140.5,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,100.39%,86.18%,13.82%,85.96%,100.39%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,140.6,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,100.23%,86.18%,13.82%,85.96%,100.23%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,140.7,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,100.06%,86.18%,13.82%,85.96%,100.06%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,140.8,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,99.89%,86.18%,13.82%,85.96%,99.89%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,140.9,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,99.72%,86.18%,13.82%,85.96%,99.72%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,141,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,99.56%,86.18%,13.82%,85.96%,99.56%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,141.1,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,99.39%,86.18%,13.82%,85.96%,99.39%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
