seq,Kingdom,Phylum,Class,Order,Family,Genus,Species,Combined,Combined,46152,H,Ha,I,Ia,J,Ja,Jb,K,L,M,N,Na,P,Q,Qa
99e5f06a61d06cdb191e00e52948bac7,Bacteria,NA,NA,NA,NA,NA,NA,Bacteria NA NA NA NA NA NA,Bacteria NA NA NA NA NA NA,0,0,0,0,0,0,0,0,0,0,0,0,0.048811739,0,0,0
cab3a156d09c8a95a87cc88ccf7c4de5,Bacteria,NA,NA,NA,NA,NA,NA,Bacteria NA NA NA NA NA NA,Bacteria NA NA NA NA NA NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002533185,0,0
8adc12dac7b8b4b0e4408ebdf6aab780,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_4774,midas_g_4774,midas_s_4774,Bacteria Patescibacteria Saccharimonadia Saccharimonadales midas_f_4774 midas_g_4774 midas_s_4774,Bacteria Patescibacteria Saccharimonadia Saccharimonadales midas_f_4774 midas_g_4774 midas_s_4774,0.001326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4ba6792b3fa30ceb7375dc41eb1d65c,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,midas_g_6975,midas_s_6975,Bacteria Patescibacteria Saccharimonadia Saccharimonadales midas_f_67 midas_g_6975 midas_s_6975,Bacteria Patescibacteria Saccharimonadia Saccharimonadales midas_f_67 midas_g_6975 midas_s_6975,0.001591837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50420826a4434507209193c117f54130,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,midas_g_8983,midas_s_12369,Bacteria Patescibacteria Saccharimonadia Saccharimonadales midas_f_67 midas_g_8983 midas_s_12369,Bacteria Patescibacteria Saccharimonadia Saccharimonadales midas_f_67 midas_g_8983 midas_s_12369,0.001061225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c2b43f5fc401b8ae942e9f83213eef32,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_3582,midas_g_3582,midas_s_3582,Bacteria Patescibacteria Saccharimonadia Saccharimonadales midas_f_3582 midas_g_3582 midas_s_3582,Bacteria Patescibacteria Saccharimonadia Saccharimonadales midas_f_3582 midas_g_3582 midas_s_3582,0.011142859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5efed3b185cd579740418a733b461740,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,midas_g_2020,midas_s_10353,Bacteria Patescibacteria Saccharimonadia Saccharimonadales midas_f_67 midas_g_2020 midas_s_10353,Bacteria Patescibacteria Saccharimonadia Saccharimonadales midas_f_67 midas_g_2020 midas_s_10353,0.007693879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8dcc2c0ebe2c9f41761691937e854ac8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,midas_g_92967,midas_s_118805,Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrososphaeraceae midas_g_92967 midas_s_118805,Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrososphaeraceae midas_g_92967 midas_s_118805,0.00344898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f113facb493f17c8499fb47ff434602,Archaea,Crenarchaeota,Bathyarchaeia,midas_o_90791,midas_f_90791,midas_g_90791,NA,Archaea Crenarchaeota Bathyarchaeia midas_o_90791 midas_f_90791 midas_g_90791 NA,Archaea Crenarchaeota Bathyarchaeia midas_o_90791 midas_f_90791 midas_g_90791 NA,0.002387756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d4be4592350230ffffb8321fc1688fa,Archaea,Crenarchaeota,Bathyarchaeia,midas_o_90791,midas_f_90791,midas_g_97217,midas_s_109195,Archaea Crenarchaeota Bathyarchaeia midas_o_90791 midas_f_90791 midas_g_97217 midas_s_109195,Archaea Crenarchaeota Bathyarchaeia midas_o_90791 midas_f_90791 midas_g_97217 midas_s_109195,0.001326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
